      number        b_UI       e_min    lambda_e         psi       kappa     alpha_u     alpha_o    lambda_a    lambda_b     a_shock     b_shock        phi1        phi2        phi3        phi4           a           b         L_N
          96      0.6882      0.5194      1.0147      3.5663      0.7969      4.6972      1.8730      4.1800      5.6694      0.2815      0.7608     10.6798      0.0000     12.3226      0.0000      2.0000      2.2630      1.2616
          97      0.6083      0.5771      1.0457      2.2939      0.8513      2.9892      4.6050      4.6365      9.6928      0.1289      0.3637      6.8989      0.0000      6.5590      0.0000      2.0000      1.6747      2.5194
          98      0.6186      0.5332      1.0195      4.8764      0.8306      2.6871      1.3827      2.8958      6.6105      0.4239      0.6834      5.2930      0.0000     16.6378      0.0000      2.0000      2.0859      1.3330
          99      0.6464      0.5825      1.0071      2.6814      0.0445      1.7173      3.0444      4.1389      6.3993      0.6319      0.7799      9.9504      0.0000     17.6052      0.0000      2.0000      2.3174      2.3109
         100      0.6955      0.5871      1.0398      3.6885      0.1799      4.4482      3.8990      3.2532      9.2815      0.1274      0.1626      6.6238      0.0000     19.9261      0.0000      2.0000      2.3077      1.2752
         101      0.6270      0.5112      1.0366      3.7066      0.1215      1.5176      2.8919      2.6539      9.8021      0.1824      0.6586     18.3850      0.0000     12.8414      0.0000      2.0000      2.0959      1.2871
         102      0.6866      0.5882      1.0114      3.3278      0.4518      3.9679      2.0426      1.4453      9.4136      0.4067      0.1094     10.1705      0.0000     12.4577      0.0000      2.0000      2.3545         NaN
         103      0.6220      0.5151      1.0489      3.6447      0.6133      3.9837      4.3950      4.3730      7.1482      0.5310      0.4702     17.4676      0.0000     15.7186      0.0000      2.0000      2.8815      2.1352
         104      0.6107      0.5397      1.0034      4.6344      0.8555      2.6568      3.4046      1.9863      9.4159      0.7016      0.6523      7.5990      0.0000     14.8793      0.0000      2.0000      2.9789         NaN
         105      0.6553      0.5458      1.0249      2.3975      0.8513      1.4966      2.1957      2.5774      7.5232      0.1875      0.1796     14.6510      0.0000     13.5012      0.0000      2.0000      2.9150         NaN
         106      0.6402      0.5445      1.0323      3.4655      0.6133      3.9892      3.6370      2.7775      6.9598      0.4187      0.2783     17.1565      0.0000      5.3605      0.0000      2.0000      2.7963         NaN
         107      0.6921      0.5468      1.0271      3.0407      0.4606      1.7135      1.6925      2.1382      9.2900      0.3494      0.1837     18.3925      0.0000      5.5615      0.0000      2.0000      2.8222      2.8238
         108      0.6916      0.5090      1.0269      4.1915      0.7377      4.7223      3.8067      1.6214      8.6181      0.1912      0.4352     17.9651      0.0000      7.9155      0.0000      2.0000      2.5078         NaN
         109      0.6590      0.5904      1.0118      4.2688      0.9173      4.9949      3.6662      4.6378      5.7715      0.4122      0.3235      7.5800      0.0000     19.0655      0.0000      2.0000      2.7261         NaN
         110      0.6281      0.5655      1.0041      2.4269      0.1140      2.0903      4.4093      1.4780      9.6528      0.6300      0.4133     10.4121      0.0000      7.7505      0.0000      2.0000      2.1624         NaN
         111      0.6768      0.5866      1.0116      2.8928      0.6560      3.6912      2.4265      2.7590      5.6621      0.1815      0.5615     17.5578      0.0000      9.6132      0.0000      2.0000      2.9851         NaN
         112      0.6841      0.5600      1.0367      2.2214      0.9897      4.7547      4.9316      3.9520      5.1839      0.5059      0.6375     12.8628      0.0000      6.1802      0.0000      2.0000      2.3844      2.2145
         113      0.6493      0.5912      1.0266      2.2977      0.4528      2.7834      3.9453      2.6290      9.2024      0.3322      0.1882     19.0666      0.0000      7.4052      0.0000      2.0000      2.3520      2.4959
         114      0.6266      0.5208      1.0238      2.1591      0.5916      3.2443      4.1533      2.1454      7.2559      0.1751      0.5670     16.1163      0.0000     18.0991      0.0000      2.0000      1.6710      1.8315
         115      0.6050      0.5633      1.0294      3.8934      0.1893      2.8892      3.3997      2.9139      9.9359      0.3380      0.4788      6.6710      0.0000      7.7664      0.0000      2.0000      2.9252         NaN
         116      0.6267      0.5414      1.0333      3.2472      0.3535      4.8835      2.5661      2.7897      9.8894      0.5826      0.7227     12.1379      0.0000      8.2298      0.0000      2.0000      2.6066         NaN
         117      0.6370      0.5313      1.0086      2.6736      0.8785      4.9861      3.2154      1.7952      5.0020      0.6021      0.2450      6.0305      0.0000      5.6355      0.0000      2.0000      2.6726         NaN
         118      0.6669      0.5727      1.0134      2.3076      0.6713      2.0592      2.3697      2.7962      5.9159      0.6276      0.3973     11.8386      0.0000     16.5590      0.0000      2.0000      2.6652      1.7043
         119      0.6975      0.5469      1.0396      3.2221      0.7085      4.1982      4.7002      4.5142      9.4699      0.7759      0.7428     10.9125      0.0000     18.8252      0.0000      2.0000      1.6945      0.1503
         120      0.6171      0.5425      1.0398      4.8429      0.0510      4.8554      1.4364      1.9309      8.4243      0.3555      0.7360     15.8600      0.0000     14.8222      0.0000      2.0000      2.7702         NaN
         121      0.6790      0.5893      1.0402      4.5689      0.4552      4.6904      2.4651      1.7208      7.9872      0.2400      0.4665     18.2950      0.0000     18.6434      0.0000      2.0000      2.9015         NaN
         122      0.6021      0.5123      1.0068      3.9854      0.4485      4.9268      3.3152      3.1441      6.0020      0.3488      0.2031     11.8333      0.0000      9.0761      0.0000      2.0000      1.9060      2.4929
         123      0.6741      0.5740      1.0488      4.5392      0.3459      3.9889      4.7841      1.9990      7.7447      0.3736      0.3013     10.5128      0.0000     16.8763      0.0000      2.0000      2.9043         NaN
         124      0.6024      0.5623      1.0402      4.0278      0.3493      3.0325      4.6681      3.0236      6.8511      0.1427      0.3187     18.3809      0.0000     11.4553      0.0000      2.0000      2.6913         NaN
         125      0.6358      0.5107      1.0500      2.5000      0.3263      1.6024      2.4741      2.0622      8.9453      0.4148      0.6340      7.6256      0.0000     14.6577      0.0000      2.0000      2.7032      1.9941
         126      0.6343      0.5847      1.0379      3.0810      0.6919      3.5054      3.8299      3.7341      7.2741      0.2470      0.7273     16.7996      0.0000      9.4022      0.0000      2.0000      1.6161      2.5941
         127      0.6419      0.5733      1.0284      3.1480      0.2248      1.1618      1.0842      4.4502      5.7223      0.5933      0.1233      8.7203      0.0000      9.8942      0.0000      2.0000      2.3007      2.8389
         128      0.6244      0.5832      1.0094      3.2118      0.5049      4.3364      2.0327      4.9419      7.7075      0.2296      0.6056     17.7653      0.0000      8.7494      0.0000      2.0000      1.7427      2.6157
         129      0.6827      0.5936      1.0174      4.3425      0.3337      2.3936      1.9940      4.9893      5.5756      0.5246      0.4515     10.3840      0.0000     17.2996      0.0000      2.0000      2.7022      2.4012
         130      0.6201      0.5005      1.0496      3.6578      0.9205      3.9903      2.9884      3.7499      8.5614      0.3942      0.3206     18.9183      0.0000     12.7351      0.0000      2.0000      2.4041      2.5029
         131      0.6753      0.5809      1.0183      4.8597      0.8242      3.6936      4.7888      4.9075      6.3116      0.2174      0.5964      7.1406      0.0000      6.9155      0.0000      2.0000      1.7820      2.5483
         132      0.6592      0.5401      1.0179      2.3088      0.4600      3.3824      3.7289      2.7910      8.8245      0.7499      0.4237     16.7240      0.0000     12.8377      0.0000      2.0000      1.7890      0.0157
         133      0.6597      0.5630      1.0404      2.2867      0.8372      1.6130      3.5377      2.7712      8.5430      0.3504      0.1395     13.1032      0.0000     17.0997      0.0000      2.0000      2.7299      2.6905
         134      0.6609      0.5830      1.0124      2.0679      0.8931      4.4171      1.9583      4.2356      8.7371      0.7395      0.2453     19.6673      0.0000      7.1665      0.0000      2.0000      1.5816      2.0353
         135      0.6054      0.5486      1.0262      3.1885      0.6864      3.1711      2.2099      2.9608      8.8911      0.4571      0.4559     19.6531      0.0000      8.0800      0.0000      2.0000      2.0650      2.0618
         136      0.6452      0.5294      1.0442      2.9459      0.7178      2.3852      3.6705      1.9891      7.7761      0.5575      0.7970      5.5317      0.0000     17.0397      0.0000      2.0000      2.5172         NaN
         137      0.6740      0.5684      1.0382      4.7590      0.0764      3.2370      3.0305      1.5800      7.8118      0.2335      0.1784     17.1202      0.0000     15.8417      0.0000      2.0000      2.4050         NaN
         138      0.6914      0.5826      1.0335      3.7291      0.3164      2.8417      2.1889      3.0406      7.3765      0.1796      0.1432     15.1770      0.0000     11.3457      0.0000      2.0000      2.6160      2.5073
         139      0.6641      0.5711      1.0051      2.5942      0.5773      3.1099      2.9687      3.1349      5.5265      0.1956      0.1235     10.7675      0.0000     15.0482      0.0000      2.0000      2.3611      2.4956
         140      0.6256      0.5319      1.0121      3.8614      0.7101      4.4214      2.9369      4.8187      8.8429      0.2128      0.1569     12.3845      0.0000     18.3948      0.0000      2.0000      2.4897      2.3366
         141      0.6958      0.5675      1.0260      2.2163      0.2241      4.1145      3.7714      3.4880      6.9464      0.4712      0.6086      6.3221      0.0000      8.7763      0.0000      2.0000      2.9392         NaN
         142      0.6673      0.5271      1.0195      3.6665      0.9488      4.9836      1.3367      1.8515      9.5689      0.2371      0.4727     19.8432      0.0000      9.6319      0.0000      2.0000      2.7606         NaN
         143      0.6413      0.5445      1.0285      3.9445      0.8798      1.4776      1.0806      2.9661      6.6929      0.2051      0.7889      8.8368      0.0000      5.0338      0.0000      2.0000      2.6068         NaN
         144      0.6373      0.5041      1.0339      2.3649      0.5661      4.4127      1.1833      4.6059      8.9515      0.5741      0.1370     12.5016      0.0000     11.2573      0.0000      2.0000      1.7349      2.7390
         145      0.6179      0.5726      1.0000      3.8407      0.2358      2.7280      3.8384      2.5124      9.1734      0.2235      0.7966     18.0584      0.0000      7.2648      0.0000      2.0000      2.2599         NaN
         146      0.6629      0.5595      1.0367      2.7480      0.6128      2.1644      3.6243      1.3798      5.5190      0.4475      0.7880     16.2261      0.0000      5.5964      0.0000      2.0000      2.3728         NaN
         147      0.6751      0.5289      1.0261      3.7500      0.7649      1.5087      1.6303      2.9504      5.0885      0.6067      0.3192      8.4057      0.0000      7.2059      0.0000      2.0000      1.5428      1.7587
         148      0.6699      0.5721      1.0179      4.0900      0.0654      3.3662      2.9396      1.0790      7.0804      0.3500      0.3862     12.8668      0.0000      7.8331      0.0000      2.0000      1.7460         NaN
